item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
4479,TIE Bomber,2003,Star Wars,Episode IV-VI,230,1,http://images.brickset.com/sets/images/4479-1.jpg,27.99,30,NA,NA,Box,Retail
4480,Jabba's Palace,2003,Star Wars,Episode IV-VI,231,6,http://images.brickset.com/sets/images/4480-1.jpg,27.99,30,NA,NA,Box,Retail
4481,Hailfire Droid,2003,Star Wars,Episode II,681,NA,http://images.brickset.com/sets/images/4481-1.jpg,44.99,50,NA,NA,Box,Retail
4482,AT-TE,2003,Star Wars,Episode II,658,4,http://images.brickset.com/sets/images/4482-1.jpg,64.99,70,NA,NA,Box,Retail
4483,AT-AT,2003,Star Wars,Episode IV-VI,1068,4,http://images.brickset.com/sets/images/4483-1.jpg,89.99,100,NA,NA,Box,Retail
4484,X-Wing Fighter & TIE Advanced,2003,Star Wars,Mini Building Set,76,NA,http://images.brickset.com/sets/images/4484-1.jpg,3.99,4,NA,NA,Blister pack,Retail
4485,Sebulba's Podracer & Anakin's Podracer,2003,Star Wars,Mini Building Set,72,NA,http://images.brickset.com/sets/images/4485-1.jpg,3.99,4,NA,NA,Blister pack,Retail
4486,AT-ST & Snowspeeder,2003,Star Wars,Mini Building Set,76,NA,http://images.brickset.com/sets/images/4486-1.jpg,3.99,4,NA,NA,Blister pack,Retail
4487,Jedi Starfighter & Slave I,2003,Star Wars,Mini Building Set,53,NA,http://images.brickset.com/sets/images/4487-1.jpg,3.99,4,NA,NA,Blister pack,Retail
4488,Millennium Falcon,2003,Star Wars,Mini Building Set,87,NA,http://images.brickset.com/sets/images/4488-1.jpg,6.99,7,NA,NA,Blister pack,Retail
4489,AT-AT,2003,Star Wars,Mini Building Set,98,NA,http://images.brickset.com/sets/images/4489-1.jpg,6.99,7,NA,NA,Blister pack,Retail
4490,Republic Gunship,2003,Star Wars,Mini Building Set,102,NA,http://images.brickset.com/sets/images/4490-1.jpg,6.99,7,NA,NA,Blister pack,Retail
4491,MTT,2003,Star Wars,Mini Building Set,99,NA,http://images.brickset.com/sets/images/4491-1.jpg,6.99,7,NA,NA,Blister pack,Retail
4511,High Speed Train,2003,World City,Trains,336,3,http://images.brickset.com/sets/images/4511-1.jpg,69.99,90,NA,NA,Box,Retail
4512,Cargo Train,2003,World City,Trains,548,3,http://images.brickset.com/sets/images/4512-1.jpg,99.99,140,NA,NA,Box,Retail
4513,Grand Central Station,2003,World City,Trains,354,5,http://images.brickset.com/sets/images/4513-1.jpg,39.99,50,NA,NA,Box,Retail
4514,Cargo Crane,2003,World City,Trains,177,2,http://images.brickset.com/sets/images/4514-1.jpg,14.99,20,NA,NA,Box,Retail
4651,Police Motorcycle,2003,4 Juniors,City,11,1,http://images.brickset.com/sets/images/4651-1.jpg,2.99,3,NA,NA,Not specified,Not specified
4652,Tow Truck,2003,4 Juniors,City,25,1,http://images.brickset.com/sets/images/4652-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4653,Dump Truck,2003,4 Juniors,City,27,1,http://images.brickset.com/sets/images/4653-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4654,Tanker Truck,2003,4 Juniors,City,42,1,http://images.brickset.com/sets/images/4654-1.jpg,14.99,15,NA,NA,Not specified,Not specified
4655,Quick Fix Station,2003,4 Juniors,City,97,2,http://images.brickset.com/sets/images/4655-1.jpg,24.99,25,NA,NA,Not specified,Not specified
4657,Fire Squad HQ,2003,4 Juniors,City,139,3,http://images.brickset.com/sets/images/4657-1.jpg,39.99,40,NA,NA,Not specified,Not specified
4719,Quality Quidditch Supplies,2003,Harry Potter,Chamber of Secrets,120,1,http://images.brickset.com/sets/images/4719-1.jpg,8.99,10,NA,NA,Box,Retail
4720,Knockturn Alley,2003,Harry Potter,Chamber of Secrets,209,2,http://images.brickset.com/sets/images/4720-1.jpg,19.99,20,NA,NA,Box,Retail
4850,Spider-Man's first chase,2003,Spider-Man,,191,3,http://images.brickset.com/sets/images/4850-1.jpg,17.99,20,NA,NA,Box,Retail
